,bigbag_filling_duration,bigbag_weight,efficiency,class,sifter_speed_nominal_pct,steam_preasure,dd_speed,temp_out,water_pct,water_correction,id,particles_grp1,particles_grp2,particles_grp3,moisture,usage_pct,elems
66,35,414,118,above,1,7.8,10,120,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
67,40,428,107,optimal,1,7.8,10,120,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
68,45,418,92,below,1,7.8,10,120,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
69,40,418,104,optimal,1,7.8,10,128,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
70,50,470,94,below,1,7.8,10,128,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
71,50,446,87,below,1,7.8,10,128,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
72,40,419,105,optimal,1,7.8,10,128,0.66,-50,3,0.603775,0.396225,0,12.6595,1,2
73,45,397,88,below,1,7.8,10,127,0.66,-50,3,0.603775,0.396225,0,12.6595,1,2
74,40,405,101,optimal,1,7.8,10,126,0.66,-50,3,0.603775,0.396225,0,12.6595,1,2
75,40,401,100,optimal,1,7.8,10,126,0.66,-50,3,0.603775,0.396225,0,12.6595,1,2
76,45,414,92,below,1,7.8,10,126,0.66,-50,3,0.603775,0.396225,0,12.6595,1,2
77,40,398,100,optimal,1,7.8,10,126,0.66,-50,3,0.603775,0.396225,0,12.6595,1,2
78,45,407,90,below,1,7.8,10,126,0.66,-50,3,0.603775,0.396225,0,12.6595,1,2
79,50,418,83,below,1,7.8,10,125,0.66,-50,3,0.603775,0.396225,0,12.6595,1,2
80,35,405,116,above,1,7.8,10,125,0.66,-50,3,0.603775,0.396225,0,12.6595,1,2
81,45,398,88,below,1,7.8,10,125,0.66,-50,3,0.603775,0.396225,0,12.6595,1,2
82,65,426,65,below,1,6.5,7,116,0.66,-50,4,0.670564,0.329436,0,12.9747,1,3
83,55,424,77,below,1,6.5,7,116,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
84,50,391,78,below,1,6.5,7,116,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
85,50,407,81,below,1,7,8,118,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
86,50,392,78,below,1,7,9,118,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
87,55,404,73,below,1,7,9,118,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
88,50,380,76,below,1,7,9,118,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
89,50,406,81,below,1,7,9,118,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
90,40,397,99,optimal,1,7,9,118,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
91,40,325,81,below,1,7,9,118,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
92,40,300,75,below,1,7,9,120,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
93,40,410,102,optimal,1,7,9,120,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
94,50,412,82,below,1,7,9,120,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
95,50,418,83,below,1,7,9,120,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
96,50,414,82,below,1,7,9,120,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
97,45,416,92,below,1,7,9,120,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
98,55,422,76,below,1,7,9,120,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
99,40,416,104,optimal,1,7,9,120,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
100,55,430,78,below,1,7,9,120,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
101,45,420,93,below,1,7,9,120,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
102,45,409,90,below,1,7,9,120,0.66,-40,4,0.670564,0.329436,0,12.9747,1,3
103,55,437,79,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
104,45,412,91,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
105,55,398,72,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
106,50,414,82,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
107,50,394,78,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
108,55,422,76,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
109,55,416,75,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
110,60,431,71,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
111,50,428,75,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
112,50,391,78,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
113,45,365,81,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
114,45,360,80,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
115,50,392,78,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
116,50,416,83,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
117,65,417,64,below,1,7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
118,55,418,76,below,1,6.7,9,120,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
119,40,412,103,optimal,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
120,50,400,80,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
121,35,338,97,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
122,50,410,82,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
123,45,337,74,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
124,40,408,102,optimal,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
125,50,416,83,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
126,50,415,83,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
127,55,408,74,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
128,45,391,86,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
129,50,379,75,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
130,35,340,97,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
131,55,389,70,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
132,40,345,86,below,1,6.5,9,125,0.66,-40,5,0.686835,0.314165,0,13.3541,1.001,5
133,55,388,69,below,1,6.3,9.5,130,0.66,-40,6,0.78098,0.21902,0,11.6312,1,4
134,45,380,84,below,1,6.3,9.5,130,0.66,-40,6,0.78098,0.21902,0,11.6312,1,4
135,50,371,74,below,1,6.3,9.5,130,0.66,-40,6,0.78098,0.21902,0,11.6312,1,4
136,40,365,91,below,1,6.3,9.5,130,0.66,-40,6,0.78098,0.21902,0,11.6312,1,4
137,50,378,75,below,1,6.1,9.5,130,0.66,-40,6,0.78098,0.21902,0,11.6312,1,4
138,50,380,75,below,1,6.1,9.5,130,0.66,-40,6,0.78098,0.21902,0,11.6312,1,4
139,45,365,81,below,1,6.1,9.5,130,0.66,-40,6,0.78098,0.21902,0,11.6312,1,4
140,55,410,74,below,1,6.1,9.5,130,0.66,-40,6,0.78098,0.21902,0,11.6312,1,4
141,45,381,84,below,1,6.1,9.5,130,0.66,-40,6,0.78098,0.21902,0,11.6312,1,4
142,55,409,74,below,1,6.1,9.5,130,0.66,-40,6,0.78098,0.21902,0,11.6312,1,4
143,50,388,77,below,1,6.1,9.5,130,0.66,-40,6,0.78098,0.21902,0,11.6312,1,4
144,45,401,89,below,1,6.7,11,121,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
145,50,379,76,below,1,6.7,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
146,50,400,80,below,1,6.7,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
147,50,405,81,below,1,6.7,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
148,50,398,80,below,1,6.7,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
149,50,386,77,below,1,6.7,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
150,45,348,77,below,1,6.7,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
151,45,398,88,below,1,6.7,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
152,50,364,73,below,1,6.7,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
153,45,333,74,below,1,6.7,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
154,55,393,71,below,1,6.7,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
155,40,383,94,below,1,6.7,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
156,50,385,78,below,1,6.5,9.5,130,0.66,-50,6,0.78098,0.21902,0,11.6312,1,4
157,45,444,100,optimal,1,6.1,9.5,130,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
158,60,449,75,below,1,6.1,9,120,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
159,50,443,89,below,1,6.1,9,120,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
160,40,435,109,optimal,1,6.1,9,120,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
161,45,430,96,below,1,6.1,9,120,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
162,55,430,78,below,1,6.1,9,120,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
163,50,432,86,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
164,50,450,90,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
165,45,415,92,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
166,50,399,80,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
167,50,410,82,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
168,50,411,80,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
169,50,445,89,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
170,50,440,88,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
171,50,424,85,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
172,50,417,83,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
173,50,429,86,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
174,45,403,89,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
175,40,335,84,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
176,40,320,80,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
177,50,418,84,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
178,55,430,78,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
179,40,417,104,optimal,1,6.1,9,121,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
180,50,417,83,below,1,6.1,9,121,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
181,55,427,78,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
182,45,432,96,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
183,55,441,80,below,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
184,40,430,107,optimal,1,6.1,9,122,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
185,50,426,85,below,1,6.1,9,121,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
186,40,361,90,below,1,6.1,9,121,0.66,-40,7,0.68358,0.31542,0,12.1821,0.999,3
187,45,434,96,below,1,6.1,9,122,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
188,60,441,74,below,1,6.1,9,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
189,45,450,100,optimal,1,6.1,9,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
190,45,431,96,below,1,7,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
191,45,413,92,below,1,7,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
192,45,401,89,below,1,7,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
193,50,418,84,below,1,7,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
194,35,394,112,above,1,6.9,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
195,50,400,80,below,1,6.8,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
196,40,338,85,below,1,6.8,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
197,35,375,107,optimal,1,6.7,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
198,55,343,98,optimal,1,6.7,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
199,55,411,74,below,1,6.6,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
200,50,436,87,below,1,6.6,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
201,50,413,82,below,1,6.6,10,121,0.66,-40,8,0.64435,0.35565,0,12.3616,1,3
202,40,390,97,below,1,6.6,10,121,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
203,50,391,78,below,1,6.6,10,121,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
204,45,374,83,below,1,6.6,10,121,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
205,45,412,91,below,1,6.6,10,121,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
206,50,437,87,below,1,6.6,10,121,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
207,45,439,97,below,1,6.6,10,121,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
208,40,406,101,optimal,1,6.6,10,121,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
209,45,410,91,below,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
210,45,402,89,below,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
211,40,404,101,optimal,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
212,50,385,77,below,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
213,35,372,106,optimal,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
214,50,390,78,below,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
215,50,400,80,below,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
216,40,381,95,below,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
217,40,364,91,below,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
218,40,328,82,below,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
219,55,396,72,below,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
220,40,388,97,below,1,6.6,9.5,123,0.66,-50,8,0.64435,0.35565,0,12.3616,1,3
221,45,408,90,below,1,6.6,9.5,122,0.66,10,8,0.64435,0.35565,0,12.3616,1,3
222,40,310,77,below,1,6.6,9.5,122,0.66,10,8,0.64435,0.35565,0,12.3616,1,3
223,60,439,73,below,1,6.3,8,121,0.66,-50,9,0.84958,0.15042,0,12.3874,1,5
224,45,420,93,below,1,6.3,9,121,0.66,-50,9,0.84958,0.15042,0,12.3874,1,5
225,50,430,86,below,1,6.3,9,121,0.66,-50,9,0.84958,0.15042,0,12.3874,1,5
226,60,434,72,below,1,6.3,9,121,0.66,-50,9,0.84958,0.15042,0,12.3874,1,5
227,45,442,98,optimal,1,6.3,9,121,0.66,-50,9,0.84958,0.15042,0,12.3874,1,5
228,40,390,97,below,1,6.3,9,121,0.66,-50,9,0.84958,0.15042,0,12.3874,1,5
229,40,453,113,above,1,6.3,9,121,0.66,-50,9,0.84958,0.15042,0,12.3874,1,5
230,45,436,97,below,1,6.3,9,121,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
231,55,442,80,below,1,6.3,9,122,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
232,50,400,80,below,1,6.3,9.5,122,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
233,50,436,87,below,1,6.3,9.5,122,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
234,45,412,91,below,1,6.3,9.5,122,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
235,50,430,86,below,1,6.3,9.5,122,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
236,50,412,82,below,1,6.3,9.5,122,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
237,50,430,86,below,1,6.3,9.5,121,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
238,45,401,89,below,1,6.3,9.5,121,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
239,35,313,89,below,1,6.3,9.5,121,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
240,50,409,81,below,1,6.3,9.5,121,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
241,45,396,88,below,1,6.3,9.5,121,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
242,50,398,80,below,1,6.5,10,121,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
243,45,397,88,below,1,6.5,10,121,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
244,45,411,91,below,1,6.5,10,121,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
245,50,399,80,below,1,6.5,10,121,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
246,50,409,82,below,1,6.5,10,121,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
247,45,430,96,below,1,6.5,10,126,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
248,50,413,82,below,1,6.5,10,126,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
249,50,423,84,below,1,6.5,10,126,0.66,-40,9,0.84958,0.15042,0,12.3874,1,5
250,60,424,70,below,1,6.5,10,126,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
251,55,418,76,below,1,6.5,10,126,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
252,85,433,50,below,1,6.5,10,126,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
253,50,434,87,below,1,6.5,10,126,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
254,40,406,101,optimal,1,6.5,10,126,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
255,50,412,82,below,1,6.5,10,126,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
256,50,411,82,below,1,6.5,10,126,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
257,50,442,88,below,1,6.5,10,126,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
258,45,390,86,below,1,6.5,10,126,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
259,45,402,89,below,1,6.5,10,126,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
260,50,431,86,below,1,6.5,10,123,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
261,55,417,76,below,1,6.5,10,123,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
262,40,401,100,optimal,1,6.5,10,123,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
263,45,411,91,below,1,6.5,10,123,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
264,45,408,91,below,1,6.5,10,123,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
265,50,422,84,below,1,6.5,10,123,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
266,50,420,84,below,1,6.5,10,123,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
267,45,405,90,below,1,6.5,10,123,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
268,45,410,91,below,1,6.5,10,123,0.66,-40,10,0.87758,0.12242,0,12.8274,1,3
269,50,424,84,below,1,6.5,10,123,0.66,-40,12,0.87148,0.12852,0,12.5954,1,5
270,45,407,90,below,1,6.6,10,123,0.66,-40,12,0.87148,0.12852,0,12.5954,1,5
271,50,414,82,below,1,6.6,10,123,0.66,-40,12,0.87148,0.12852,0,12.5954,1,5
